work_order_id,catalog_id,supplier,device_type,technician,shift,build_date,logcnt_ERROR,logcnt_INFO,logcnt_WARN,logcnt_total,loglen_avg,cl_0,cl_1,cl_-1,saw_noise,failure_label
WO-0000021,CAT-1102,SPLR_02,EDGE_AI,Tracy,A,2025-01-01,4,8,1,13,35.0,0,0,1,1,1
WO-0000022,CAT-1052,SPLR_11,EMBEDDED_B,Daniel,B,2025-01-01,3,4,5,12,35.416666666666664,0,0,1,1,0
WO-0000023,CAT-1094,SPLR_08,RACK2U,Mark,A,2025-01-01,1,5,3,9,29.333333333333332,0,0,1,1,0
WO-0000024,CAT-1040,SPLR_02,NUC,Jose,B,2025-01-01,0,9,3,12,27.25,0,0,1,1,1
WO-0000025,CAT-1086,SPLR_04,STORAGE_NODE,Daniel,A,2025-01-01,4,9,4,17,31.823529411764707,0,0,1,1,1
WO-0000026,CAT-1059,SPLR_09,EMBEDDED_B,Gabriel,A,2025-01-01,2,5,2,9,32.111111111111114,0,0,1,1,0
WO-0000027,CAT-1045,SPLR_12,EMBEDDED_A,Kelsey,A,2025-01-01,2,9,4,15,31.466666666666665,0,0,1,1,0
WO-0000028,CAT-1041,SPLR_17,NUC,Kelsey,B,2025-01-01,4,7,3,14,29.714285714285715,0,0,1,1,1
WO-0000029,CAT-1109,SPLR_06,EDGE_AI,Gabriel,B,2025-01-01,2,7,4,13,32.0,1,0,0,0,0
WO-0000030,CAT-1031,SPLR_09,EMBEDDED_B,Jonathan,A,2025-01-01,1,5,5,11,27.727272727272727,0,0,1,1,0
WO-0000031,CAT-1032,SPLR_16,U25,Sarah,A,2025-01-01,2,5,4,11,36.54545454545455,1,0,0,0,0
WO-0000032,CAT-1086,SPLR_11,RACK1U,Gerald,C,2025-01-01,4,8,2,14,30.714285714285715,0,0,1,1,0
WO-0000033,CAT-1021,SPLR_14,RACK2U,Anthony,A,2025-01-01,5,5,4,14,40.785714285714285,0,0,1,1,0
WO-0000034,CAT-1037,SPLR_11,EMBEDDED_B,Donald,A,2025-01-01,6,5,8,19,38.68421052631579,0,0,1,1,0
WO-0000035,CAT-1077,SPLR_08,EDGE_AI,Katherine,B,2025-01-01,1,8,1,10,27.4,0,0,1,1,0
WO-0000036,CAT-1022,SPLR_03,RACK1U,Danielle,B,2025-01-01,6,8,4,18,39.44444444444444,0,0,1,1,0
WO-0000037,CAT-1012,SPLR_04,RACK1U,Philip,B,2025-01-01,2,4,5,11,30.363636363636363,0,0,1,1,0
WO-0000038,CAT-1053,SPLR_11,RACK1U,James,C,2025-01-01,6,7,2,15,38.666666666666664,0,0,1,1,1
WO-0000039,CAT-1002,SPLR_09,RACK2U,Theresa,A,2025-01-01,1,5,2,8,26.375,0,0,1,1,0
WO-0000040,CAT-1033,SPLR_09,RACK2U,Brandon,B,2025-01-01,2,6,1,9,26.88888888888889,0,0,1,1,0
WO-0000041,CAT-1112,SPLR_09,EDGE_AI,Adam,A,2025-01-01,3,3,0,6,30.166666666666668,0,0,1,1,0
WO-0000042,CAT-1065,SPLR_09,EMBEDDED_A,Tracy,C,2025-01-01,0,5,2,7,27.571428571428573,0,0,1,1,0
WO-0000043,CAT-1002,SPLR_16,EMBEDDED_A,Philip,B,2025-01-01,3,9,4,16,35.125,0,0,1,1,1
WO-0000044,CAT-1037,SPLR_12,NUC,Brenda,B,2025-01-01,2,5,7,14,33.42857142857143,0,0,1,1,0
WO-0000045,CAT-1033,SPLR_13,STORAGE_NODE,Jose,A,2025-01-01,6,6,1,13,30.0,0,0,1,1,0
WO-0000046,CAT-1073,SPLR_05,STORAGE_NODE,Gary,B,2025-01-01,0,4,1,5,31.4,0,0,1,1,0
WO-0000047,CAT-1004,SPLR_07,RACK1U,Alice,C,2025-01-01,3,6,2,11,28.818181818181817,0,0,1,1,0
WO-0000048,CAT-1115,SPLR_17,RACK1U,Thomas,B,2025-01-01,4,3,6,13,32.0,0,0,1,1,0
WO-0000049,CAT-1034,SPLR_05,STORAGE_NODE,Chad,A,2025-01-01,7,7,5,19,38.78947368421053,0,0,1,1,0
WO-0000050,CAT-1063,SPLR_09,NUC,Gabriel,C,2025-01-01,1,5,3,9,29.444444444444443,0,0,1,1,0
WO-0000051,CAT-1119,SPLR_14,EDGE_AI,Kevin,C,2025-01-01,0,7,2,9,28.555555555555557,0,0,1,1,0
WO-0000052,CAT-1013,SPLR_06,EMBEDDED_A,Jonathan,B,2025-01-01,3,8,1,12,30.833333333333332,0,0,1,1,0
WO-0000053,CAT-1092,SPLR_07,STORAGE_NODE,Donald,B,2025-01-01,4,7,2,13,35.84615384615385,0,0,1,1,1
WO-0000054,CAT-1045,SPLR_17,RACK1U,Michelle,A,2025-01-01,7,3,3,13,33.92307692307692,0,0,1,1,0
WO-0000055,CAT-1028,SPLR_15,STORAGE_NODE,John,A,2025-01-01,1,3,3,7,30.428571428571427,0,0,1,1,0
WO-0000056,CAT-1044,SPLR_16,EMBEDDED_A,Peter,A,2025-01-01,5,11,0,16,34.125,1,0,0,0,0
WO-0000057,CAT-1023,SPLR_14,RACK1U,Gabriel,B,2025-01-01,4,10,2,16,31.4375,0,0,1,1,0
WO-0000058,CAT-1052,SPLR_01,U25,Samantha,A,2025-01-01,2,7,1,10,27.3,0,0,1,1,0
WO-0000059,CAT-1027,SPLR_13,STORAGE_NODE,Brenda,B,2025-01-01,2,7,3,12,27.0,0,0,1,1,0
WO-0000060,CAT-1111,SPLR_11,EMBEDDED_B,Anthony,C,2025-01-01,3,8,3,14,30.785714285714285,0,0,1,1,0
WO-0000061,CAT-1023,SPLR_13,NUC,Jonathan,A,2025-01-01,3,5,0,8,32.5,0,0,1,1,0
WO-0000062,CAT-1052,SPLR_16,NUC,Andrew,A,2025-01-01,6,3,2,11,31.181818181818183,0,0,1,1,0
WO-0000063,CAT-1047,SPLR_09,EMBEDDED_A,Heather,C,2025-01-01,3,4,2,9,36.111111111111114,0,0,1,1,0
WO-0000064,CAT-1062,SPLR_16,RACK1U,Nathaniel,B,2025-01-01,1,9,1,11,27.363636363636363,0,0,1,1,1
WO-0000065,CAT-1002,SPLR_12,EDGE_AI,Margaret,A,2025-01-01,5,15,2,22,33.27272727272727,0,0,1,1,1
WO-0000066,CAT-1089,SPLR_17,RACK2U,Gabriel,C,2025-01-01,1,8,2,11,27.363636363636363,0,0,1,1,0
WO-0000067,CAT-1071,SPLR_15,RACK2U,Felicia,B,2025-01-01,2,2,4,8,28.0,0,0,1,1,0
WO-0000068,CAT-1101,SPLR_03,NUC,Tracy,B,2025-01-01,5,5,2,12,35.75,1,0,0,0,0
WO-0000069,CAT-1099,SPLR_05,RACK1U,Aaron,B,2025-01-01,2,9,1,12,31.5,0,0,1,1,0
WO-0000070,CAT-1111,SPLR_11,EDGE_AI,James,A,2025-01-01,4,4,0,8,44.125,0,0,1,1,0
WO-0000071,CAT-1049,SPLR_08,NUC,Adam,C,2025-01-01,4,13,4,21,28.952380952380953,0,0,1,1,1
WO-0000072,CAT-1032,SPLR_05,RACK2U,Adam,B,2025-01-01,2,9,3,14,28.714285714285715,0,0,1,1,0
WO-0000073,CAT-1028,SPLR_15,STORAGE_NODE,Margaret,A,2025-01-01,2,6,3,11,30.0,0,0,1,1,0
WO-0000074,CAT-1057,SPLR_03,EMBEDDED_A,Heather,A,2025-01-01,6,6,2,14,40.857142857142854,1,0,0,0,1
WO-0000075,CAT-1098,SPLR_03,STORAGE_NODE,Susan,A,2025-01-01,2,16,0,18,29.27777777777778,0,0,1,1,0
WO-0000076,CAT-1018,SPLR_03,RACK1U,Sarah,A,2025-01-01,2,7,1,10,27.7,0,0,1,1,0
WO-0000077,CAT-1013,SPLR_02,U25,Samantha,A,2025-01-01,2,5,2,9,30.11111111111111,0,0,1,1,0
WO-0000078,CAT-1051,SPLR_13,EMBEDDED_A,Rachel,A,2025-01-01,2,10,4,16,34.1875,0,0,1,1,0
WO-0000079,CAT-1047,SPLR_10,EMBEDDED_B,Dawn,C,2025-01-01,2,7,3,12,28.833333333333332,0,0,1,1,1
WO-0000080,CAT-1064,SPLR_04,NUC,Kevin,A,2025-01-02,3,8,2,13,31.153846153846153,0,0,1,1,0
WO-0000081,CAT-1028,SPLR_11,STORAGE_NODE,Anthony,A,2025-01-02,3,7,2,12,31.333333333333332,0,0,1,1,0
WO-0000082,CAT-1000,SPLR_10,RACK1U,Kevin,C,2025-01-02,1,6,2,9,46.22222222222222,0,0,1,1,0
WO-0000083,CAT-1012,SPLR_02,RACK2U,Philip,A,2025-01-02,5,8,1,14,28.285714285714285,0,0,1,1,0
WO-0000084,CAT-1100,SPLR_16,EDGE_AI,Gary,C,2025-01-02,2,8,1,11,30.09090909090909,0,0,1,1,0
WO-0000085,CAT-1117,SPLR_14,EMBEDDED_B,Thomas,B,2025-01-02,2,7,4,13,28.76923076923077,0,0,1,1,0
WO-0000086,CAT-1088,SPLR_10,U25,Jody,C,2025-01-02,0,7,4,11,30.727272727272727,0,0,1,1,0
WO-0000087,CAT-1061,SPLR_09,EDGE_AI,Michael,B,2025-01-02,1,6,3,10,26.8,0,0,1,1,0
WO-0000088,CAT-1029,SPLR_03,RACK1U,Brandon,A,2025-01-02,1,1,1,3,29.333333333333332,0,0,1,1,0
WO-0000089,CAT-1057,SPLR_05,RACK1U,Carolyn,A,2025-01-02,3,2,4,9,42.44444444444444,0,0,1,1,1
WO-0000090,CAT-1088,SPLR_08,RACK1U,Jonathan,A,2025-01-02,5,6,4,15,35.06666666666667,1,0,0,0,0
WO-0000091,CAT-1082,SPLR_17,EMBEDDED_B,Susan,B,2025-01-02,5,5,1,11,28.90909090909091,0,0,1,1,0
WO-0000092,CAT-1092,SPLR_10,RACK1U,Jamie,B,2025-01-02,3,5,6,14,31.428571428571427,1,0,0,0,0
WO-0000093,CAT-1101,SPLR_15,EMBEDDED_A,Aaron,B,2025-01-02,3,8,4,15,32.0,0,0,1,1,0
WO-0000094,CAT-1008,SPLR_13,RACK1U,Katherine,B,2025-01-02,3,2,6,11,31.636363636363637,0,0,1,1,0
WO-0000095,CAT-1024,SPLR_15,STORAGE_NODE,Edward,B,2025-01-02,4,7,5,16,32.1875,1,0,0,0,1
WO-0000096,CAT-1076,SPLR_13,NUC,Gregory,C,2025-01-02,3,6,6,15,30.8,0,0,1,1,0
WO-0000097,CAT-1010,SPLR_03,STORAGE_NODE,Jamie,C,2025-01-02,2,11,0,13,26.23076923076923,0,0,1,1,0
WO-0000098,CAT-1048,SPLR_14,EMBEDDED_A,Aaron,C,2025-01-02,1,4,2,7,28.857142857142858,0,0,1,1,0
WO-0000099,CAT-1095,SPLR_05,EMBEDDED_B,Erik,A,2025-01-02,2,8,2,12,29.25,0,0,1,1,0
WO-0000100,CAT-1062,SPLR_04,EMBEDDED_A,Edward,B,2025-01-02,7,9,3,19,30.842105263157894,0,0,1,1,1
WO-0000101,CAT-1067,SPLR_09,EMBEDDED_B,Aaron,B,2025-01-02,1,7,5,13,34.38461538461539,1,0,0,0,0
WO-0000102,CAT-1110,SPLR_09,EDGE_AI,Gary,C,2025-01-02,6,6,7,19,35.0,0,0,1,1,0
WO-0000103,CAT-1071,SPLR_03,EDGE_AI,Brenda,A,2025-01-02,1,5,2,8,33.0,0,0,1,1,0
WO-0000104,CAT-1058,SPLR_08,EMBEDDED_B,Susan,B,2025-01-02,3,9,4,16,34.1875,0,0,1,1,0
WO-0000105,CAT-1092,SPLR_07,EMBEDDED_B,Kevin,B,2025-01-02,4,13,2,19,27.63157894736842,0,0,1,1,0
WO-0000106,CAT-1076,SPLR_07,RACK1U,Aaron,A,2025-01-02,3,2,2,7,40.42857142857143,0,0,1,1,0
WO-0000107,CAT-1037,SPLR_03,NUC,Chad,A,2025-01-02,7,6,4,17,38.294117647058826,0,0,1,1,0
WO-0000108,CAT-1088,SPLR_13,RACK2U,Samantha,C,2025-01-02,7,7,4,18,40.388888888888886,0,0,1,1,0
WO-0000109,CAT-1066,SPLR_14,EMBEDDED_A,Katelyn,A,2025-01-02,0,8,3,11,28.09090909090909,0,0,1,1,0
WO-0000110,CAT-1078,SPLR_13,STORAGE_NODE,Brian,A,2025-01-02,4,8,3,15,32.266666666666666,0,0,1,1,0
WO-0000111,CAT-1114,SPLR_15,STORAGE_NODE,Thomas,A,2025-01-02,5,4,1,10,38.5,0,0,1,1,0
WO-0000112,CAT-1057,SPLR_13,EMBEDDED_A,Gerald,B,2025-01-02,3,6,1,10,27.4,0,0,1,1,0
WO-0000113,CAT-1001,SPLR_15,RACK2U,James,B,2025-01-02,2,7,3,12,27.25,0,0,1,1,0
WO-0000114,CAT-1037,SPLR_06,RACK2U,Vicki,B,2025-01-02,0,6,1,7,26.0,0,0,1,1,0
WO-0000115,CAT-1110,SPLR_03,RACK2U,Aaron,C,2025-01-02,1,7,3,11,30.545454545454547,0,0,1,1,0
WO-0000116,CAT-1082,SPLR_15,RACK1U,Katherine,C,2025-01-02,3,5,3,11,34.09090909090909,0,0,1,1,0
WO-0000117,CAT-1012,SPLR_12,U25,Adam,A,2025-01-02,4,5,0,9,32.888888888888886,0,0,1,1,0
WO-0000118,CAT-1081,SPLR_01,STORAGE_NODE,Tiffany,A,2025-01-02,5,5,5,15,40.6,0,0,1,1,0
WO-0000119,CAT-1028,SPLR_14,EDGE_AI,Heather,C,2025-01-02,2,7,2,11,38.36363636363637,1,0,0,0,0
WO-0000120,CAT-1034,SPLR_01,EMBEDDED_B,Jay,A,2025-01-02,6,8,0,14,35.285714285714285,0,0,1,1,0
WO-0000121,CAT-1000,SPLR_11,STORAGE_NODE,Rachel,A,2025-01-02,0,8,2,10,26.9,0,0,1,1,0
WO-0000122,CAT-1034,SPLR_02,EDGE_AI,Danielle,C,2025-01-02,5,9,2,16,27.3125,0,0,1,1,1
WO-0000123,CAT-1096,SPLR_14,EDGE_AI,Michael,C,2025-01-02,2,4,2,8,31.375,0,0,1,1,0
WO-0000124,CAT-1053,SPLR_04,NUC,Brenda,B,2025-01-02,6,6,2,14,39.785714285714285,0,0,1,1,0
WO-0000125,CAT-1014,SPLR_14,EMBEDDED_A,Lisa,C,2025-01-02,1,7,1,9,28.333333333333332,0,0,1,1,0
WO-0000126,CAT-1053,SPLR_13,U25,Peter,A,2025-01-02,4,6,3,13,37.0,0,0,1,1,0
WO-0000127,CAT-1023,SPLR_13,EMBEDDED_A,Alexis,B,2025-01-02,1,8,2,11,32.90909090909091,0,0,1,1,1
WO-0000128,CAT-1061,SPLR_12,NUC,Jay,C,2025-01-02,2,10,1,13,30.46153846153846,0,0,1,1,1
WO-0000129,CAT-1005,SPLR_13,RACK2U,Samantha,A,2025-01-02,1,5,1,7,25.285714285714285,0,0,1,1,0
WO-0000130,CAT-1092,SPLR_17,U25,Erik,B,2025-01-02,5,8,0,13,27.307692307692307,0,0,1,1,1
WO-0000131,CAT-1055,SPLR_12,EDGE_AI,Kelsey,A,2025-01-02,5,6,4,15,32.266666666666666,0,0,1,1,0
WO-0000132,CAT-1029,SPLR_06,STORAGE_NODE,Anthony,B,2025-01-02,1,5,1,7,27.428571428571427,0,0,1,1,0
WO-0000133,CAT-1069,SPLR_12,RACK2U,Chad,A,2025-01-02,7,7,4,18,34.05555555555556,0,0,1,1,0
WO-0000134,CAT-1055,SPLR_08,EMBEDDED_A,Susan,A,2025-01-02,2,8,1,11,35.72727272727273,0,0,1,1,0
WO-0000135,CAT-1056,SPLR_03,STORAGE_NODE,Tracy,A,2025-01-02,4,5,3,12,32.166666666666664,0,0,1,1,0
WO-0000136,CAT-1073,SPLR_11,RACK2U,Taylor,A,2025-01-02,5,6,1,12,31.583333333333332,0,0,1,1,0
WO-0000137,CAT-1076,SPLR_08,EDGE_AI,Linda,B,2025-01-02,5,7,2,14,30.857142857142858,0,0,1,1,1
WO-0000138,CAT-1072,SPLR_01,RACK1U,James,B,2025-01-02,4,3,1,8,39.25,1,0,0,0,0
WO-0000139,CAT-1050,SPLR_05,NUC,Kelsey,B,2025-01-02,2,7,1,10,32.3,0,0,1,1,0
WO-0000140,CAT-1070,SPLR_12,EMBEDDED_B,Gregory,A,2025-01-02,3,8,1,12,30.25,0,0,1,1,0
WO-0000141,CAT-1078,SPLR_14,RACK1U,Gerald,A,2025-01-02,1,9,0,10,26.9,0,0,1,1,0
WO-0000142,CAT-1063,SPLR_07,EMBEDDED_B,Jamie,B,2025-01-02,4,7,5,16,34.875,1,0,0,0,0
WO-0000143,CAT-1061,SPLR_16,U25,Susan,B,2025-01-02,1,4,1,6,26.666666666666668,0,0,1,1,0
WO-0000144,CAT-1088,SPLR_14,EMBEDDED_A,Tiffany,C,2025-01-02,3,4,4,11,31.272727272727273,0,0,1,1,0
WO-0000145,CAT-1037,SPLR_10,NUC,Brenda,A,2025-01-02,0,7,1,8,31.125,0,0,1,1,0
WO-0000146,CAT-1104,SPLR_02,EDGE_AI,Kyle,A,2025-01-02,1,7,4,12,30.0,0,0,1,1,0
WO-0000147,CAT-1033,SPLR_04,EMBEDDED_B,Sarah,B,2025-01-02,3,7,3,13,36.30769230769231,0,0,1,1,0
WO-0000148,CAT-1108,SPLR_15,NUC,Marissa,A,2025-01-02,1,3,2,6,25.333333333333332,0,0,1,1,0
WO-0000149,CAT-1102,SPLR_03,U25,Carmen,A,2025-01-02,0,12,4,16,28.875,0,0,1,1,0
WO-0000150,CAT-1060,SPLR_17,RACK1U,Kyle,B,2025-01-02,4,2,2,8,41.75,0,0,1,1,1
WO-0000151,CAT-1119,SPLR_06,EDGE_AI,Anna,B,2025-01-02,0,11,3,14,30.785714285714285,0,0,1,1,1
WO-0000152,CAT-1090,SPLR_12,RACK2U,Steven,A,2025-01-02,2,8,5,15,30.2,0,0,1,1,0
WO-0000153,CAT-1001,SPLR_10,RACK2U,Gabriel,A,2025-01-02,3,6,1,10,29.0,0,0,1,1,0
WO-0000154,CAT-1050,SPLR_17,EDGE_AI,Jamie,C,2025-01-02,1,9,4,14,27.428571428571427,0,0,1,1,1
WO-0000155,CAT-1066,SPLR_17,EMBEDDED_B,Philip,A,2025-01-02,5,8,3,16,34.1875,1,0,0,0,0
WO-0000156,CAT-1101,SPLR_02,RACK2U,Kathy,A,2025-01-02,5,8,3,16,33.375,0,0,1,1,0
WO-0000157,CAT-1090,SPLR_09,STORAGE_NODE,John,A,2025-01-02,4,9,4,17,33.529411764705884,0,0,1,1,0
WO-0000158,CAT-1029,SPLR_01,STORAGE_NODE,Lisa,A,2025-01-02,2,11,0,13,27.46153846153846,0,0,1,1,0
WO-0000159,CAT-1027,SPLR_09,STORAGE_NODE,Gregory,B,2025-01-02,5,8,4,17,33.470588235294116,1,0,0,0,1
WO-0000160,CAT-1001,SPLR_05,NUC,Kathy,B,2025-01-03,1,10,3,14,35.357142857142854,0,0,1,1,0
WO-0000161,CAT-1101,SPLR_12,RACK2U,Danielle,B,2025-01-03,4,7,3,14,30.714285714285715,0,0,1,1,0
WO-0000162,CAT-1073,SPLR_07,NUC,Jonathan,A,2025-01-03,5,6,4,15,35.666666666666664,0,0,1,1,1
WO-0000163,CAT-1064,SPLR_15,RACK1U,Katelyn,B,2025-01-03,3,3,4,10,33.8,0,0,1,1,0
WO-0000164,CAT-1082,SPLR_10,EDGE_AI,Erin,B,2025-01-03,5,7,1,13,28.692307692307693,0,0,1,1,0
WO-0000165,CAT-1109,SPLR_15,RACK2U,Steven,B,2025-01-03,4,8,4,16,32.375,0,0,1,1,0
WO-0000166,CAT-1101,SPLR_03,EMBEDDED_A,Jonathan,C,2025-01-03,1,8,4,13,30.846153846153847,0,0,1,1,0
WO-0000167,CAT-1047,SPLR_12,RACK2U,Samantha,A,2025-01-03,2,4,3,9,27.0,0,0,1,1,0
WO-0000168,CAT-1037,SPLR_01,U25,Carmen,A,2025-01-03,4,6,2,12,35.583333333333336,1,0,0,0,0
WO-0000169,CAT-1111,SPLR_06,U25,Erik,A,2025-01-03,1,8,3,12,31.25,0,0,1,1,0
WO-0000170,CAT-1049,SPLR_13,RACK1U,Aaron,C,2025-01-03,2,7,4,13,31.307692307692307,0,0,1,1,0
WO-0000171,CAT-1076,SPLR_12,STORAGE_NODE,Felicia,B,2025-01-03,1,6,0,7,27.0,0,0,1,1,1
WO-0000172,CAT-1078,SPLR_13,STORAGE_NODE,Tracy,B,2025-01-03,1,12,2,15,31.333333333333332,0,0,1,1,1
WO-0000173,CAT-1115,SPLR_15,NUC,Brenda,B,2025-01-03,1,6,5,12,33.833333333333336,0,0,1,1,0
WO-0000174,CAT-1097,SPLR_11,RACK2U,Jamie,C,2025-01-03,3,7,2,12,29.5,0,0,1,1,0
WO-0000175,CAT-1078,SPLR_17,U25,Tracy,B,2025-01-03,2,4,3,9,26.88888888888889,0,0,1,1,0
WO-0000176,CAT-1116,SPLR_07,EMBEDDED_B,Jay,A,2025-01-03,1,5,5,11,27.90909090909091,0,0,1,1,0
WO-0000177,CAT-1014,SPLR_14,STORAGE_NODE,Nathaniel,C,2025-01-03,5,8,3,16,34.3125,0,0,1,1,0
WO-0000178,CAT-1103,SPLR_17,RACK2U,Gary,B,2025-01-03,0,4,1,5,38.6,0,0,1,1,1
WO-0000179,CAT-1049,SPLR_02,U25,Gerald,C,2025-01-03,1,7,2,10,27.5,0,0,1,1,0
WO-0000180,CAT-1031,SPLR_15,STORAGE_NODE,Gary,A,2025-01-03,4,8,2,14,28.214285714285715,0,0,1,1,0
WO-0000181,CAT-1004,SPLR_01,RACK1U,Margaret,B,2025-01-03,4,8,4,16,32.4375,1,0,0,0,0
WO-0000182,CAT-1091,SPLR_14,EMBEDDED_B,Jay,B,2025-01-03,4,8,3,15,36.266666666666666,0,0,1,1,0
WO-0000183,CAT-1103,SPLR_14,RACK2U,Peter,A,2025-01-03,2,8,6,16,30.0,0,0,1,1,0
WO-0000184,CAT-1012,SPLR_15,EMBEDDED_A,Brandon,B,2025-01-03,2,11,6,19,34.1578947368421,0,0,1,1,0
WO-0000185,CAT-1000,SPLR_13,EMBEDDED_A,Megan,A,2025-01-03,2,3,5,10,28.1,0,0,1,1,0
WO-0000186,CAT-1083,SPLR_12,STORAGE_NODE,Tiffany,C,2025-01-03,3,8,5,16,33.5,0,0,1,1,0
WO-0000187,CAT-1028,SPLR_07,EDGE_AI,Brian,A,2025-01-03,2,7,6,15,37.333333333333336,1,0,0,0,1
WO-0000188,CAT-1085,SPLR_08,EMBEDDED_A,Brenda,C,2025-01-03,2,10,1,13,27.307692307692307,0,0,1,1,0
WO-0000189,CAT-1032,SPLR_04,EMBEDDED_B,Andrew,A,2025-01-03,7,6,2,15,34.2,1,0,0,0,0
WO-0000190,CAT-1053,SPLR_15,EMBEDDED_B,Allison,A,2025-01-03,1,8,5,14,34.357142857142854,1,0,0,0,1
WO-0000191,CAT-1119,SPLR_08,EMBEDDED_A,Philip,B,2025-01-03,1,8,0,9,27.11111111111111,0,0,1,1,0
WO-0000192,CAT-1022,SPLR_13,STORAGE_NODE,Jonathan,A,2025-01-03,1,6,1,8,26.125,0,0,1,1,0
WO-0000193,CAT-1071,SPLR_16,U25,Nathaniel,A,2025-01-03,0,6,3,9,28.555555555555557,0,0,1,1,0
WO-0000194,CAT-1012,SPLR_02,RACK1U,Trevor,A,2025-01-03,9,7,2,18,42.0,0,0,1,1,0
WO-0000195,CAT-1024,SPLR_09,STORAGE_NODE,Thomas,A,2025-01-03,2,7,2,11,27.90909090909091,0,0,1,1,1
WO-0000196,CAT-1053,SPLR_17,RACK2U,Jamie,B,2025-01-03,5,13,3,21,33.23809523809524,1,0,0,0,0
WO-0000197,CAT-1090,SPLR_06,RACK1U,Kevin,A,2025-01-03,6,8,4,18,32.388888888888886,1,0,0,0,1
WO-0000198,CAT-1067,SPLR_16,RACK1U,Donna,B,2025-01-03,2,9,3,14,31.857142857142858,0,0,1,1,1
WO-0000199,CAT-1063,SPLR_11,EMBEDDED_A,Adam,A,2025-01-03,3,3,4,10,34.2,0,0,1,1,1
WO-0000200,CAT-1102,SPLR_07,U25,Samantha,C,2025-01-03,4,4,3,11,26.181818181818183,0,0,1,1,0
WO-0000201,CAT-1018,SPLR_06,NUC,Katherine,B,2025-01-03,1,7,2,10,31.7,0,0,1,1,0
WO-0000202,CAT-1070,SPLR_09,EDGE_AI,Amy,C,2025-01-03,2,10,2,14,28.285714285714285,0,0,1,1,0
WO-0000203,CAT-1057,SPLR_12,RACK1U,Mark,C,2025-01-03,1,6,1,8,27.625,0,0,1,1,1
WO-0000204,CAT-1032,SPLR_04,EDGE_AI,Samantha,A,2025-01-03,2,7,3,12,29.75,0,0,1,1,0
WO-0000205,CAT-1067,SPLR_12,RACK1U,Michelle,B,2025-01-03,2,11,0,13,29.53846153846154,0,0,1,1,0
WO-0000206,CAT-1112,SPLR_01,RACK2U,Chad,A,2025-01-03,7,7,1,15,40.53333333333333,1,0,0,0,0
