work_order_id,ts,level,message
WO-0000005,2025-01-01T15:33:38,INFO,checksum ecc1f7b3 verified
WO-0000005,2025-01-01T15:36:23,WARN,step completed: qc duration=63s
WO-0000005,2025-01-01T15:36:42,ERROR,storage verify failed: tray 6 empty or bad seating
WO-0000005,2025-01-01T15:39:03,ERROR,step completed: flash duration=41s
WO-0000005,2025-01-01T15:48:54,INFO,device id c2c9ef detected
WO-0000005,2025-01-01T15:50:53,ERROR,hotplug event missed: bay 6 did not enumerate
WO-0000006,2025-01-01T15:08:10,INFO,step completed: audit duration=72s
WO-0000006,2025-01-01T15:09:13,INFO,device id 9c97d2 detected
WO-0000006,2025-01-01T15:10:41,WARN,checksum 40775c16 verified
WO-0000006,2025-01-01T15:18:45,ERROR,checksum 57c2247d verified
WO-0000006,2025-01-01T15:20:18,ERROR,HBA reported link loss on expander port 3
WO-0000006,2025-01-01T15:22:59,INFO,device id 67433a detected
WO-0000006,2025-01-01T15:24:09,INFO,checksum e5caba41 verified
WO-0000006,2025-01-01T15:25:22,INFO,invoking task run_memtest
WO-0000006,2025-01-01T15:25:25,ERROR,device id 092e1a detected
WO-0000006,2025-01-01T15:26:29,ERROR,PXE-E51: No DHCP or proxyDHCP offers on eno2
WO-0000006,2025-01-01T15:27:20,INFO,device id e0599d detected
WO-0000006,2025-01-01T15:32:12,WARN,step completed: qc duration=93s
WO-0000006,2025-01-01T15:41:08,ERROR,HBA reported link loss on expander port 4
WO-0000006,2025-01-01T15:49:31,ERROR,device id 2853c0 detected
WO-0000006,2025-01-01T15:56:42,INFO,checksum 2c57ea40 verified
WO-0000006,2025-01-01T15:59:50,WARN,SAS link drop: phy0 reset; negotiated 0 Gbps
WO-0000007,2025-01-01T15:08:09,INFO,step completed: audit duration=80s
WO-0000007,2025-01-01T15:08:41,WARN,device id 66cb07 detected
WO-0000007,2025-01-01T15:22:00,INFO,checksum 6ca55dd2 verified
WO-0000007,2025-01-01T15:23:25,WARN,checksum a61a47f3 verified
WO-0000007,2025-01-01T15:26:58,INFO,step completed: provision duration=14s
WO-0000007,2025-01-01T15:30:26,INFO,step completed: provision duration=24s
WO-0000007,2025-01-01T15:33:32,WARN,checksum 5f53a32c verified
WO-0000007,2025-01-01T15:43:59,INFO,step completed: audit duration=29s
WO-0000007,2025-01-01T15:50:16,INFO,invoking task collect_telemetry
WO-0000007,2025-01-01T15:54:36,ERROR,step completed: qc duration=64s
WO-0000008,2025-01-01T15:01:08,INFO,device id 12af9d detected
WO-0000008,2025-01-01T15:02:06,INFO,device id 927aaa detected
WO-0000008,2025-01-01T15:11:47,WARN,checksum 243d2443 verified
WO-0000008,2025-01-01T15:16:34,WARN,checksum d8fecc1b verified
WO-0000008,2025-01-01T15:30:04,INFO,invoking task install_driver
WO-0000008,2025-01-01T15:34:38,INFO,device id 039930 detected
WO-0000008,2025-01-01T15:37:28,WARN,invoking task run_memtest
WO-0000008,2025-01-01T15:47:18,INFO,checksum b497541f verified
WO-0000008,2025-01-01T15:47:41,INFO,device id 7941f5 detected
WO-0000008,2025-01-01T15:48:13,INFO,step completed: provision duration=20s
WO-0000008,2025-01-01T15:50:07,INFO,step completed: provision duration=36s
WO-0000008,2025-01-01T15:53:30,ERROR,step completed: provision duration=97s
WO-0000008,2025-01-01T15:54:18,ERROR,checksum a395b14a verified
WO-0000008,2025-01-01T15:56:11,INFO,step completed: qc duration=93s
WO-0000009,2025-01-01T17:07:26,ERROR,slot 7: drive presence=0; expected SAS/SATA; serial=073983078c61
WO-0000009,2025-01-01T17:10:12,INFO,device id 342d6c detected
WO-0000009,2025-01-01T17:13:24,INFO,device id 8534e1 detected
WO-0000009,2025-01-01T17:18:16,ERROR,invoking task run_memtest
WO-0000009,2025-01-01T17:31:02,ERROR,step completed: provision duration=52s
WO-0000009,2025-01-01T17:47:35,INFO,step completed: flash duration=61s
WO-0000009,2025-01-01T17:53:50,WARN,checksum d4841e70 verified
WO-0000009,2025-01-01T17:59:16,INFO,step completed: qc duration=29s
WO-0000010,2025-01-01T07:06:47,ERROR,invoking task run_memtest
WO-0000010,2025-01-01T07:12:16,INFO,invoking task run_memtest
WO-0000010,2025-01-01T07:18:03,INFO,device id 119553 detected
WO-0000010,2025-01-01T07:21:27,INFO,step completed: flash duration=81s
WO-0000010,2025-01-01T07:22:29,INFO,device id 2475b2 detected
WO-0000010,2025-01-01T07:23:45,INFO,invoking task stage_image
WO-0000010,2025-01-01T07:30:17,ERROR,checksum d5ff2b74 verified
WO-0000010,2025-01-01T07:35:36,ERROR,step completed: flash duration=51s
WO-0000010,2025-01-01T07:37:22,INFO,device id 8742f1 detected
WO-0000010,2025-01-01T07:45:46,ERROR,invoking task run_memtest
WO-0000011,2025-01-01T08:03:20,ERROR,checksum 5e097e89 verified
WO-0000011,2025-01-01T08:21:18,INFO,checksum fe4ac887 verified
WO-0000011,2025-01-01T08:27:41,INFO,device id 18482a detected
WO-0000011,2025-01-01T08:38:50,ERROR,iPXE timeout on p1p1; no lease acquired
WO-0000011,2025-01-01T08:55:06,WARN,step completed: audit duration=95s
WO-0000012,2025-01-01T09:00:51,INFO,step completed: qc duration=71s
WO-0000012,2025-01-01T09:19:49,INFO,invoking task install_driver
WO-0000012,2025-01-01T09:20:27,INFO,device id e53dd1 detected
WO-0000012,2025-01-01T09:28:39,INFO,step completed: flash duration=50s
WO-0000012,2025-01-01T09:33:51,INFO,checksum 28b0e94c verified
WO-0000012,2025-01-01T09:37:59,INFO,step completed: provision duration=21s
WO-0000012,2025-01-01T09:38:11,INFO,step completed: flash duration=17s
WO-0000012,2025-01-01T09:45:21,INFO,device id 06a6ab detected
WO-0000012,2025-01-01T09:45:27,ERROR,invoking task collect_telemetry
WO-0000012,2025-01-01T09:47:15,ERROR,device id e5ec43 detected
WO-0000013,2025-01-01T07:03:26,WARN,HBA reported link loss on expander port 6
WO-0000013,2025-01-01T07:19:45,ERROR,SAS link drop: phy2 reset; negotiated 0 Gbps
WO-0000013,2025-01-01T07:20:08,ERROR,IPMI fallback triggered; redfish unresponsive from 192.168.148.250
WO-0000013,2025-01-01T07:28:08,INFO,checksum 814bc444 verified
WO-0000013,2025-01-01T07:28:51,ERROR,SAS link drop: phy4 reset; negotiated 0 Gbps
WO-0000013,2025-01-01T07:33:26,INFO,invoking task stage_image
WO-0000013,2025-01-01T07:33:55,ERROR,BMC REST call exceeded 30s; endpoint=/redfish/v1/Systems; token=8febdcad1070
WO-0000013,2025-01-01T07:41:38,WARN,invoking task run_memtest
WO-0000013,2025-01-01T07:50:48,INFO,step completed: provision duration=118s
WO-0000013,2025-01-01T07:56:35,ERROR,invoking task collect_telemetry
WO-0000013,2025-01-01T07:58:27,INFO,checksum df72baf8 verified
WO-0000014,2025-01-01T17:03:08,INFO,checksum 95cd0fad verified
WO-0000014,2025-01-01T17:03:26,INFO,checksum 3362e4b2 verified
WO-0000014,2025-01-01T17:05:05,ERROR,USB bus stall: device d2eb39f1d7f3 on port 1 failed to enumerate
WO-0000014,2025-01-01T17:05:07,INFO,step completed: audit duration=60s
WO-0000014,2025-01-01T17:13:19,INFO,invoking task collect_telemetry
WO-0000014,2025-01-01T17:17:10,ERROR,USB bus stall: device bbae5c3e1c1e on port 4 failed to enumerate
WO-0000014,2025-01-01T17:24:16,INFO,invoking task collect_telemetry
WO-0000014,2025-01-01T17:25:45,ERROR,UEFI verification failed: signature invalid
WO-0000014,2025-01-01T17:26:32,ERROR,step completed: flash duration=82s
WO-0000014,2025-01-01T17:30:50,INFO,device id efba5e detected
WO-0000014,2025-01-01T17:34:04,INFO,invoking task stage_image
WO-0000014,2025-01-01T17:43:06,ERROR,Hub reset required; descriptor read timeout on port 6
WO-0000014,2025-01-01T17:44:11,INFO,step completed: qc duration=119s
WO-0000014,2025-01-01T17:45:39,ERROR,storage verify failed: tray 7 empty or bad seating
WO-0000014,2025-01-01T17:53:44,WARN,slot 0: drive presence=0; expected SAS/SATA; serial=8cd6b8c3b975
WO-0000014,2025-01-01T17:53:55,INFO,step completed: flash duration=89s
WO-0000014,2025-01-01T17:59:27,INFO,step completed: qc duration=94s
WO-0000014,2025-01-01T17:59:57,ERROR,slot 7: drive presence=0; expected SAS/SATA; serial=172e6de1c414
WO-0000015,2025-01-01T13:18:45,INFO,step completed: provision duration=6s
WO-0000015,2025-01-01T13:21:57,INFO,device id d28fc6 detected
WO-0000015,2025-01-01T13:37:00,WARN,checksum 24b6b770 verified
WO-0000015,2025-01-01T13:54:26,ERROR,step completed: provision duration=71s
WO-0000015,2025-01-01T13:55:36,ERROR,device id f3cfdb detected
WO-0000016,2025-01-01T08:02:49,INFO,device id 490ff2 detected
WO-0000016,2025-01-01T08:15:32,ERROR,device id 9e0b77 detected
WO-0000016,2025-01-01T08:20:30,INFO,checksum 1ff18ae8 verified
WO-0000016,2025-01-01T08:20:40,WARN,device id 9ff46a detected
WO-0000016,2025-01-01T08:26:09,ERROR,step completed: flash duration=107s
WO-0000016,2025-01-01T08:32:05,INFO,invoking task install_driver
WO-0000016,2025-01-01T08:34:04,INFO,invoking task collect_telemetry
WO-0000016,2025-01-01T08:35:46,INFO,invoking task stage_image
WO-0000016,2025-01-01T08:37:25,INFO,checksum 7159bc84 verified
WO-0000016,2025-01-01T08:47:09,WARN,device id a83d86 detected
WO-0000016,2025-01-01T08:58:12,INFO,checksum 71da41e5 verified
WO-0000017,2025-01-01T08:13:35,ERROR,BMC REST call exceeded 30s; endpoint=/redfish/v1/Systems; token=33207196a321
WO-0000017,2025-01-01T08:15:45,WARN,flasher refused downgrade from v1.4.18 to v4.0.18
WO-0000017,2025-01-01T08:18:00,ERROR,USB bus stall: device e5138aa25106 on port 2 failed to enumerate
WO-0000017,2025-01-01T08:23:23,INFO,invoking task collect_telemetry
WO-0000017,2025-01-01T08:28:06,WARN,BMC REST call exceeded 30s; endpoint=/redfish/v1/Systems; token=3fdb6c9ebf61
WO-0000017,2025-01-01T08:29:34,ERROR,Hub reset required; descriptor read timeout on port 2
WO-0000017,2025-01-01T08:40:33,INFO,checksum 505885b4 verified
WO-0000017,2025-01-01T08:48:11,ERROR,step completed: provision duration=30s
WO-0000017,2025-01-01T08:59:44,ERROR,USB bus stall: device 66604654adef on port 1 failed to enumerate
WO-0000018,2025-01-01T17:11:39,INFO,step completed: qc duration=55s
WO-0000018,2025-01-01T17:12:47,INFO,invoking task run_memtest
WO-0000018,2025-01-01T17:22:41,INFO,invoking task stage_image
WO-0000018,2025-01-01T17:23:15,INFO,checksum b55bc1d4 verified
WO-0000018,2025-01-01T17:25:13,WARN,invoking task install_driver
WO-0000018,2025-01-01T17:28:41,ERROR,device id 87ecf4 detected
WO-0000018,2025-01-01T17:28:53,WARN,device id cd36db detected
WO-0000018,2025-01-01T17:37:11,ERROR,invoking task collect_telemetry
WO-0000018,2025-01-01T17:45:37,WARN,device id 33fc8e detected
WO-0000018,2025-01-01T17:49:00,INFO,invoking task stage_image
WO-0000018,2025-01-01T17:50:58,WARN,device id d22095 detected
WO-0000019,2025-01-01T08:01:49,WARN,checksum 2cd8cebb verified
WO-0000019,2025-01-01T08:14:15,INFO,checksum 328c4902 verified
WO-0000019,2025-01-01T08:22:27,INFO,device id 659be4 detected
WO-0000019,2025-01-01T08:26:27,INFO,device id 501c6f detected
WO-0000019,2025-01-01T08:29:19,INFO,checksum 2d6aec65 verified
WO-0000019,2025-01-01T08:32:30,INFO,device id 8162f9 detected
WO-0000019,2025-01-01T08:35:57,INFO,step completed: flash duration=47s
WO-0000019,2025-01-01T08:44:15,INFO,invoking task run_memtest
WO-0000019,2025-01-01T08:48:50,INFO,device id 0c9b2e detected
WO-0000019,2025-01-01T08:53:37,ERROR,device id 3594c7 detected
WO-0000019,2025-01-01T08:57:36,INFO,invoking task run_memtest
WO-0000019,2025-01-01T08:58:37,WARN,device id b8b721 detected
WO-0000020,2025-01-01T16:06:54,WARN,device id 145f84 detected
WO-0000020,2025-01-01T16:07:04,INFO,device id a906dc detected
WO-0000020,2025-01-01T16:09:46,INFO,checksum 32ac642a verified
WO-0000020,2025-01-01T16:24:28,ERROR,Secure Boot policy blocked unsigned bootloader a06c9cbe9984
WO-0000020,2025-01-01T16:24:40,ERROR,UEFI verification failed: signature invalid
WO-0000020,2025-01-01T16:27:55,INFO,checksum 62f7f798 verified
WO-0000020,2025-01-01T16:33:20,INFO,device id 428f7e detected
WO-0000020,2025-01-01T16:35:30,WARN,device id e5e655 detected
WO-0000020,2025-01-01T16:35:56,ERROR,IPMI fallback triggered; redfish unresponsive from 192.168.103.239
WO-0000020,2025-01-01T16:39:41,ERROR,BMC REST call exceeded 30s; endpoint=/redfish/v1/Systems; token=bfea5ee0589b
WO-0000020,2025-01-01T16:41:02,INFO,step completed: qc duration=63s
WO-0000020,2025-01-01T16:52:23,WARN,checksum a6ea9b1e verified
WO-0000020,2025-01-01T16:52:34,WARN,device id ffb5ff detected
WO-0000020,2025-01-01T16:53:41,ERROR,redfish client timeout contacting BMC at 172.25.83.231; session=e908a359e0ed
WO-0000020,2025-01-01T16:53:44,ERROR,Secure Boot policy blocked unsigned bootloader e698c0591da0
WO-0000020,2025-01-01T16:57:15,INFO,step completed: flash duration=62s
WO-0000021,2025-01-01T15:09:52,WARN,device id 4e272c detected
WO-0000021,2025-01-01T15:14:31,ERROR,Secure Boot policy blocked unsigned bootloader 2698731f7995
WO-0000021,2025-01-01T15:14:35,INFO,step completed: flash duration=57s
WO-0000021,2025-01-01T15:15:42,INFO,device id 6cbf2e detected
WO-0000021,2025-01-01T15:18:26,INFO,step completed: provision duration=27s
WO-0000021,2025-01-01T15:23:36,ERROR,UEFI verification failed: signature invalid
WO-0000021,2025-01-01T15:25:16,INFO,device id 80ea30 detected
WO-0000021,2025-01-01T15:26:04,INFO,invoking task stage_image
WO-0000021,2025-01-01T15:30:31,ERROR,UEFI verification failed: signature invalid
WO-0000021,2025-01-01T15:35:24,INFO,device id 3224d6 detected
WO-0000021,2025-01-01T15:45:50,INFO,invoking task install_driver
WO-0000021,2025-01-01T15:49:07,INFO,step completed: provision duration=15s
WO-0000021,2025-01-01T15:51:19,ERROR,flasher refused downgrade from v1.6.9 to v4.7.9
WO-0000022,2025-01-01T12:05:06,WARN,Hub reset required; descriptor read timeout on port 5
WO-0000022,2025-01-01T12:08:31,WARN,step completed: qc duration=68s
WO-0000022,2025-01-01T12:21:29,INFO,device id e04298 detected
WO-0000022,2025-01-01T12:25:23,ERROR,invoking task run_memtest
WO-0000022,2025-01-01T12:27:15,WARN,invoking task collect_telemetry
WO-0000022,2025-01-01T12:30:47,INFO,invoking task collect_telemetry
WO-0000022,2025-01-01T12:31:21,ERROR,USB bus stall: device d20bf9ca5843 on port 2 failed to enumerate
WO-0000022,2025-01-01T12:48:41,WARN,USB bus stall: device b2d0543b1cda on port 3 failed to enumerate
WO-0000022,2025-01-01T12:57:11,WARN,device id a6b7cf detected
WO-0000022,2025-01-01T12:58:45,ERROR,device id 343a0d detected
WO-0000022,2025-01-01T12:59:13,INFO,checksum 838657c2 verified
WO-0000022,2025-01-01T12:59:17,INFO,device id 83ba18 detected
WO-0000023,2025-01-01T06:03:26,WARN,checksum 91c31b92 verified
WO-0000023,2025-01-01T06:06:13,INFO,step completed: audit duration=9s
WO-0000023,2025-01-01T06:16:05,INFO,invoking task stage_image
WO-0000023,2025-01-01T06:21:28,WARN,PXE boot failed: DHCP pool exhausted on VLAN 255
WO-0000023,2025-01-01T06:24:09,INFO,invoking task run_memtest
WO-0000023,2025-01-01T06:33:04,INFO,step completed: qc duration=40s
WO-0000023,2025-01-01T06:40:37,WARN,checksum 156cc546 verified
WO-0000023,2025-01-01T06:48:32,INFO,invoking task run_memtest
WO-0000023,2025-01-01T06:51:51,ERROR,invoking task run_memtest
WO-0000024,2025-01-01T07:02:27,INFO,checksum 8c108e00 verified
WO-0000024,2025-01-01T07:12:05,INFO,checksum ab38f13b verified
WO-0000024,2025-01-01T07:13:42,WARN,checksum b302776f verified
WO-0000024,2025-01-01T07:16:32,INFO,device id ef56f7 detected
WO-0000024,2025-01-01T07:17:02,INFO,checksum 35d805d2 verified
WO-0000024,2025-01-01T07:22:18,INFO,invoking task stage_image
WO-0000024,2025-01-01T07:34:05,INFO,checksum 3910d41a verified
WO-0000024,2025-01-01T07:38:30,INFO,step completed: audit duration=28s
WO-0000024,2025-01-01T07:38:51,WARN,device id 5b13f6 detected
WO-0000024,2025-01-01T07:55:49,WARN,invoking task run_memtest
WO-0000024,2025-01-01T07:57:14,INFO,device id 07fe37 detected
WO-0000024,2025-01-01T07:58:04,INFO,step completed: provision duration=86s
WO-0000025,2025-01-01T10:00:15,ERROR,SAS link drop: phy0 reset; negotiated 0 Gbps
WO-0000025,2025-01-01T10:01:32,INFO,checksum e8ab6bfb verified
WO-0000025,2025-01-01T10:05:40,WARN,storage verify failed: tray 8 empty or bad seating
WO-0000025,2025-01-01T10:08:01,ERROR,HBA reported link loss on expander port 6
WO-0000025,2025-01-01T10:16:22,WARN,checksum 113d7bf0 verified
WO-0000025,2025-01-01T10:18:56,INFO,step completed: flash duration=106s
WO-0000025,2025-01-01T10:24:00,ERROR,hotplug event missed: bay 1 did not enumerate
WO-0000025,2025-01-01T10:30:04,INFO,device id bda6df detected
WO-0000025,2025-01-01T10:33:48,ERROR,device id 54ff63 detected
WO-0000025,2025-01-01T10:34:00,INFO,device id b8283a detected
WO-0000025,2025-01-01T10:37:31,INFO,checksum 953c53ff verified
WO-0000025,2025-01-01T10:38:55,INFO,invoking task run_memtest
WO-0000025,2025-01-01T10:39:50,INFO,device id f0b3a9 detected
WO-0000025,2025-01-01T10:40:59,WARN,checksum 9f88986f verified
WO-0000025,2025-01-01T10:42:08,WARN,step completed: audit duration=50s
WO-0000025,2025-01-01T10:45:48,INFO,device id eebfb1 detected
WO-0000025,2025-01-01T10:52:36,INFO,step completed: provision duration=45s
WO-0000026,2025-01-01T09:01:10,WARN,catalog policy violation: image v4.9.6 vs device v1.6.0
WO-0000026,2025-01-01T09:09:46,INFO,step completed: flash duration=62s
WO-0000026,2025-01-01T09:10:38,INFO,checksum 880d822b verified
WO-0000026,2025-01-01T09:10:55,ERROR,flasher refused downgrade from v2.8.14 to v2.5.4
WO-0000026,2025-01-01T09:12:09,WARN,invoking task run_memtest
WO-0000026,2025-01-01T09:13:23,INFO,checksum 485a7967 verified
WO-0000026,2025-01-01T09:22:44,INFO,invoking task stage_image
WO-0000026,2025-01-01T09:27:07,INFO,device id 92ab43 detected
WO-0000026,2025-01-01T09:40:39,ERROR,device id 8dd826 detected
WO-0000027,2025-01-01T10:05:17,INFO,invoking task collect_telemetry
WO-0000027,2025-01-01T10:08:08,INFO,device id 68ac3d detected
WO-0000027,2025-01-01T10:10:25,WARN,invoking task run_memtest
WO-0000027,2025-01-01T10:13:12,INFO,step completed: qc duration=111s
WO-0000027,2025-01-01T10:13:15,INFO,invoking task run_memtest
WO-0000027,2025-01-01T10:13:32,INFO,device id f5ab20 detected
WO-0000027,2025-01-01T10:13:33,WARN,HBA reported link loss on expander port 0
WO-0000027,2025-01-01T10:15:06,INFO,step completed: provision duration=95s
WO-0000027,2025-01-01T10:26:23,INFO,checksum 9a0258e2 verified
WO-0000027,2025-01-01T10:26:25,ERROR,invoking task run_memtest
WO-0000027,2025-01-01T10:29:35,WARN,invoking task run_memtest
WO-0000027,2025-01-01T10:33:41,ERROR,SAS link drop: phy1 reset; negotiated 0 Gbps
WO-0000027,2025-01-01T10:41:05,WARN,Secure Boot policy blocked unsigned bootloader 2ebea5a921a1
WO-0000027,2025-01-01T10:42:01,INFO,device id 776610 detected
WO-0000027,2025-01-01T10:53:07,INFO,checksum 8e8b8856 verified
WO-0000028,2025-01-01T11:01:26,INFO,invoking task collect_telemetry
WO-0000028,2025-01-01T11:10:00,INFO,invoking task collect_telemetry
WO-0000028,2025-01-01T11:12:44,WARN,checksum 250813be verified
WO-0000028,2025-01-01T11:19:36,INFO,step completed: qc duration=34s
WO-0000028,2025-01-01T11:23:15,WARN,step completed: flash duration=101s
WO-0000028,2025-01-01T11:25:51,WARN,device id 9c47ed detected
WO-0000028,2025-01-01T11:26:30,ERROR,device id 2c26d7 detected
WO-0000028,2025-01-01T11:29:55,ERROR,invoking task install_driver
WO-0000028,2025-01-01T11:33:29,ERROR,hotplug event missed: bay 7 did not enumerate
WO-0000028,2025-01-01T11:37:06,INFO,device id 4e566e detected
WO-0000028,2025-01-01T11:37:42,INFO,invoking task run_memtest
WO-0000028,2025-01-01T11:43:53,ERROR,device id 05031e detected
WO-0000028,2025-01-01T11:54:41,INFO,device id 0c1e97 detected
WO-0000028,2025-01-01T11:55:40,INFO,step completed: provision duration=115s
WO-0000029,2025-01-01T13:15:27,WARN,device id a0a5f7 detected
WO-0000029,2025-01-01T13:18:05,ERROR,Attestation failed: EK cert chain not trusted
WO-0000029,2025-01-01T13:18:09,WARN,step completed: provision duration=87s
WO-0000029,2025-01-01T13:18:46,INFO,device id 8b5f6a detected
WO-0000029,2025-01-01T13:20:38,INFO,step completed: provision duration=50s
WO-0000029,2025-01-01T13:20:57,INFO,step completed: provision duration=8s
WO-0000029,2025-01-01T13:45:10,INFO,invoking task run_memtest
WO-0000029,2025-01-01T13:45:49,WARN,checksum fc2435e7 verified
WO-0000029,2025-01-01T13:55:44,INFO,invoking task collect_telemetry
WO-0000029,2025-01-01T13:57:28,INFO,invoking task collect_telemetry
WO-0000029,2025-01-01T13:57:57,INFO,device id 72f518 detected
WO-0000029,2025-01-01T13:59:28,WARN,Attestation failed: EK cert chain not trusted
WO-0000029,2025-01-01T13:59:44,ERROR,invoking task run_memtest
WO-0000030,2025-01-01T16:05:45,WARN,checksum 0c5f03bc verified
WO-0000030,2025-01-01T16:13:50,ERROR,device id adcb29 detected
WO-0000030,2025-01-01T16:18:15,INFO,invoking task run_memtest
WO-0000030,2025-01-01T16:19:20,WARN,checksum 74d1655f verified
WO-0000030,2025-01-01T16:20:26,WARN,checksum fba243a8 verified
WO-0000030,2025-01-01T16:20:56,INFO,invoking task install_driver
WO-0000030,2025-01-01T16:38:25,WARN,step completed: flash duration=78s
WO-0000030,2025-01-01T16:46:22,INFO,step completed: flash duration=44s
WO-0000030,2025-01-01T16:56:35,WARN,step completed: qc duration=17s
WO-0000030,2025-01-01T16:58:25,INFO,invoking task stage_image
WO-0000030,2025-01-01T16:58:41,INFO,device id 7b702f detected
WO-0000031,2025-01-01T16:03:00,ERROR,USB bus stall: device ff1c88d0037f on port 2 failed to enumerate
