work_order_id,catalog_id,supplier,device_type,technician,shift,build_date,failure_label
WO-0000028,CAT-1041,SPLR_17,NUC,Kelsey,B,2025-01-01,1
WO-0000029,CAT-1109,SPLR_06,EDGE_AI,Gabriel,B,2025-01-01,0
WO-0000030,CAT-1031,SPLR_09,EMBEDDED_B,Jonathan,A,2025-01-01,0
WO-0000031,CAT-1032,SPLR_16,U25,Sarah,A,2025-01-01,0
WO-0000032,CAT-1086,SPLR_11,RACK1U,Gerald,C,2025-01-01,0
WO-0000033,CAT-1021,SPLR_14,RACK2U,Anthony,A,2025-01-01,0
WO-0000034,CAT-1037,SPLR_11,EMBEDDED_B,Donald,A,2025-01-01,0
WO-0000035,CAT-1077,SPLR_08,EDGE_AI,Katherine,B,2025-01-01,0
WO-0000036,CAT-1022,SPLR_03,RACK1U,Danielle,B,2025-01-01,0
WO-0000037,CAT-1012,SPLR_04,RACK1U,Philip,B,2025-01-01,0
WO-0000038,CAT-1053,SPLR_11,RACK1U,James,C,2025-01-01,1
WO-0000039,CAT-1002,SPLR_09,RACK2U,Theresa,A,2025-01-01,0
WO-0000040,CAT-1033,SPLR_09,RACK2U,Brandon,B,2025-01-01,0
WO-0000041,CAT-1112,SPLR_09,EDGE_AI,Adam,A,2025-01-01,0
WO-0000042,CAT-1065,SPLR_09,EMBEDDED_A,Tracy,C,2025-01-01,0
WO-0000043,CAT-1002,SPLR_16,EMBEDDED_A,Philip,B,2025-01-01,1
WO-0000044,CAT-1037,SPLR_12,NUC,Brenda,B,2025-01-01,0
WO-0000045,CAT-1033,SPLR_13,STORAGE_NODE,Jose,A,2025-01-01,0
WO-0000046,CAT-1073,SPLR_05,STORAGE_NODE,Gary,B,2025-01-01,0
WO-0000047,CAT-1004,SPLR_07,RACK1U,Alice,C,2025-01-01,0
WO-0000048,CAT-1115,SPLR_17,RACK1U,Thomas,B,2025-01-01,0
WO-0000049,CAT-1034,SPLR_05,STORAGE_NODE,Chad,A,2025-01-01,0
WO-0000050,CAT-1063,SPLR_09,NUC,Gabriel,C,2025-01-01,0
WO-0000051,CAT-1119,SPLR_14,EDGE_AI,Kevin,C,2025-01-01,0
WO-0000052,CAT-1013,SPLR_06,EMBEDDED_A,Jonathan,B,2025-01-01,0
WO-0000053,CAT-1092,SPLR_07,STORAGE_NODE,Donald,B,2025-01-01,1
WO-0000054,CAT-1045,SPLR_17,RACK1U,Michelle,A,2025-01-01,0
WO-0000055,CAT-1028,SPLR_15,STORAGE_NODE,John,A,2025-01-01,0
WO-0000056,CAT-1044,SPLR_16,EMBEDDED_A,Peter,A,2025-01-01,0
WO-0000057,CAT-1023,SPLR_14,RACK1U,Gabriel,B,2025-01-01,0
WO-0000058,CAT-1052,SPLR_01,U25,Samantha,A,2025-01-01,0
WO-0000059,CAT-1027,SPLR_13,STORAGE_NODE,Brenda,B,2025-01-01,0
WO-0000060,CAT-1111,SPLR_11,EMBEDDED_B,Anthony,C,2025-01-01,0
WO-0000061,CAT-1023,SPLR_13,NUC,Jonathan,A,2025-01-01,0
WO-0000062,CAT-1052,SPLR_16,NUC,Andrew,A,2025-01-01,0
WO-0000063,CAT-1047,SPLR_09,EMBEDDED_A,Heather,C,2025-01-01,0
WO-0000064,CAT-1062,SPLR_16,RACK1U,Nathaniel,B,2025-01-01,1
WO-0000065,CAT-1002,SPLR_12,EDGE_AI,Margaret,A,2025-01-01,1
WO-0000066,CAT-1089,SPLR_17,RACK2U,Gabriel,C,2025-01-01,0
WO-0000067,CAT-1071,SPLR_15,RACK2U,Felicia,B,2025-01-01,0
WO-0000068,CAT-1101,SPLR_03,NUC,Tracy,B,2025-01-01,0
WO-0000069,CAT-1099,SPLR_05,RACK1U,Aaron,B,2025-01-01,0
WO-0000070,CAT-1111,SPLR_11,EDGE_AI,James,A,2025-01-01,0
WO-0000071,CAT-1049,SPLR_08,NUC,Adam,C,2025-01-01,1
WO-0000072,CAT-1032,SPLR_05,RACK2U,Adam,B,2025-01-01,0
WO-0000073,CAT-1028,SPLR_15,STORAGE_NODE,Margaret,A,2025-01-01,0
WO-0000074,CAT-1057,SPLR_03,EMBEDDED_A,Heather,A,2025-01-01,1
WO-0000075,CAT-1098,SPLR_03,STORAGE_NODE,Susan,A,2025-01-01,0
WO-0000076,CAT-1018,SPLR_03,RACK1U,Sarah,A,2025-01-01,0
WO-0000077,CAT-1013,SPLR_02,U25,Samantha,A,2025-01-01,0
WO-0000078,CAT-1051,SPLR_13,EMBEDDED_A,Rachel,A,2025-01-01,0
WO-0000079,CAT-1047,SPLR_10,EMBEDDED_B,Dawn,C,2025-01-01,1
WO-0000080,CAT-1064,SPLR_04,NUC,Kevin,A,2025-01-02,0
WO-0000081,CAT-1028,SPLR_11,STORAGE_NODE,Anthony,A,2025-01-02,0
WO-0000082,CAT-1000,SPLR_10,RACK1U,Kevin,C,2025-01-02,0
WO-0000083,CAT-1012,SPLR_02,RACK2U,Philip,A,2025-01-02,0
WO-0000084,CAT-1100,SPLR_16,EDGE_AI,Gary,C,2025-01-02,0
WO-0000085,CAT-1117,SPLR_14,EMBEDDED_B,Thomas,B,2025-01-02,0
WO-0000086,CAT-1088,SPLR_10,U25,Jody,C,2025-01-02,0
WO-0000087,CAT-1061,SPLR_09,EDGE_AI,Michael,B,2025-01-02,0
WO-0000088,CAT-1029,SPLR_03,RACK1U,Brandon,A,2025-01-02,0
WO-0000089,CAT-1057,SPLR_05,RACK1U,Carolyn,A,2025-01-02,1
WO-0000090,CAT-1088,SPLR_08,RACK1U,Jonathan,A,2025-01-02,0
WO-0000091,CAT-1082,SPLR_17,EMBEDDED_B,Susan,B,2025-01-02,0
WO-0000092,CAT-1092,SPLR_10,RACK1U,Jamie,B,2025-01-02,0
WO-0000093,CAT-1101,SPLR_15,EMBEDDED_A,Aaron,B,2025-01-02,0
WO-0000094,CAT-1008,SPLR_13,RACK1U,Katherine,B,2025-01-02,0
WO-0000095,CAT-1024,SPLR_15,STORAGE_NODE,Edward,B,2025-01-02,1
WO-0000096,CAT-1076,SPLR_13,NUC,Gregory,C,2025-01-02,0
WO-0000097,CAT-1010,SPLR_03,STORAGE_NODE,Jamie,C,2025-01-02,0
WO-0000098,CAT-1048,SPLR_14,EMBEDDED_A,Aaron,C,2025-01-02,0
WO-0000099,CAT-1095,SPLR_05,EMBEDDED_B,Erik,A,2025-01-02,0
WO-0000100,CAT-1062,SPLR_04,EMBEDDED_A,Edward,B,2025-01-02,1
WO-0000101,CAT-1067,SPLR_09,EMBEDDED_B,Aaron,B,2025-01-02,0
WO-0000102,CAT-1110,SPLR_09,EDGE_AI,Gary,C,2025-01-02,0
WO-0000103,CAT-1071,SPLR_03,EDGE_AI,Brenda,A,2025-01-02,0
WO-0000104,CAT-1058,SPLR_08,EMBEDDED_B,Susan,B,2025-01-02,0
WO-0000105,CAT-1092,SPLR_07,EMBEDDED_B,Kevin,B,2025-01-02,0
WO-0000106,CAT-1076,SPLR_07,RACK1U,Aaron,A,2025-01-02,0
WO-0000107,CAT-1037,SPLR_03,NUC,Chad,A,2025-01-02,0
WO-0000108,CAT-1088,SPLR_13,RACK2U,Samantha,C,2025-01-02,0
WO-0000109,CAT-1066,SPLR_14,EMBEDDED_A,Katelyn,A,2025-01-02,0
WO-0000110,CAT-1078,SPLR_13,STORAGE_NODE,Brian,A,2025-01-02,0
WO-0000111,CAT-1114,SPLR_15,STORAGE_NODE,Thomas,A,2025-01-02,0
WO-0000112,CAT-1057,SPLR_13,EMBEDDED_A,Gerald,B,2025-01-02,0
WO-0000113,CAT-1001,SPLR_15,RACK2U,James,B,2025-01-02,0
WO-0000114,CAT-1037,SPLR_06,RACK2U,Vicki,B,2025-01-02,0
WO-0000115,CAT-1110,SPLR_03,RACK2U,Aaron,C,2025-01-02,0
WO-0000116,CAT-1082,SPLR_15,RACK1U,Katherine,C,2025-01-02,0
WO-0000117,CAT-1012,SPLR_12,U25,Adam,A,2025-01-02,0
WO-0000118,CAT-1081,SPLR_01,STORAGE_NODE,Tiffany,A,2025-01-02,0
WO-0000119,CAT-1028,SPLR_14,EDGE_AI,Heather,C,2025-01-02,0
WO-0000120,CAT-1034,SPLR_01,EMBEDDED_B,Jay,A,2025-01-02,0
WO-0000121,CAT-1000,SPLR_11,STORAGE_NODE,Rachel,A,2025-01-02,0
WO-0000122,CAT-1034,SPLR_02,EDGE_AI,Danielle,C,2025-01-02,1
WO-0000123,CAT-1096,SPLR_14,EDGE_AI,Michael,C,2025-01-02,0
WO-0000124,CAT-1053,SPLR_04,NUC,Brenda,B,2025-01-02,0
WO-0000125,CAT-1014,SPLR_14,EMBEDDED_A,Lisa,C,2025-01-02,0
WO-0000126,CAT-1053,SPLR_13,U25,Peter,A,2025-01-02,0
WO-0000127,CAT-1023,SPLR_13,EMBEDDED_A,Alexis,B,2025-01-02,1
WO-0000128,CAT-1061,SPLR_12,NUC,Jay,C,2025-01-02,1
WO-0000129,CAT-1005,SPLR_13,RACK2U,Samantha,A,2025-01-02,0
WO-0000130,CAT-1092,SPLR_17,U25,Erik,B,2025-01-02,1
WO-0000131,CAT-1055,SPLR_12,EDGE_AI,Kelsey,A,2025-01-02,0
WO-0000132,CAT-1029,SPLR_06,STORAGE_NODE,Anthony,B,2025-01-02,0
WO-0000133,CAT-1069,SPLR_12,RACK2U,Chad,A,2025-01-02,0
WO-0000134,CAT-1055,SPLR_08,EMBEDDED_A,Susan,A,2025-01-02,0
WO-0000135,CAT-1056,SPLR_03,STORAGE_NODE,Tracy,A,2025-01-02,0
WO-0000136,CAT-1073,SPLR_11,RACK2U,Taylor,A,2025-01-02,0
WO-0000137,CAT-1076,SPLR_08,EDGE_AI,Linda,B,2025-01-02,1
WO-0000138,CAT-1072,SPLR_01,RACK1U,James,B,2025-01-02,0
WO-0000139,CAT-1050,SPLR_05,NUC,Kelsey,B,2025-01-02,0
WO-0000140,CAT-1070,SPLR_12,EMBEDDED_B,Gregory,A,2025-01-02,0
WO-0000141,CAT-1078,SPLR_14,RACK1U,Gerald,A,2025-01-02,0
WO-0000142,CAT-1063,SPLR_07,EMBEDDED_B,Jamie,B,2025-01-02,0
WO-0000143,CAT-1061,SPLR_16,U25,Susan,B,2025-01-02,0
WO-0000144,CAT-1088,SPLR_14,EMBEDDED_A,Tiffany,C,2025-01-02,0
WO-0000145,CAT-1037,SPLR_10,NUC,Brenda,A,2025-01-02,0
WO-0000146,CAT-1104,SPLR_02,EDGE_AI,Kyle,A,2025-01-02,0
WO-0000147,CAT-1033,SPLR_04,EMBEDDED_B,Sarah,B,2025-01-02,0
WO-0000148,CAT-1108,SPLR_15,NUC,Marissa,A,2025-01-02,0
WO-0000149,CAT-1102,SPLR_03,U25,Carmen,A,2025-01-02,0
WO-0000150,CAT-1060,SPLR_17,RACK1U,Kyle,B,2025-01-02,1
WO-0000151,CAT-1119,SPLR_06,EDGE_AI,Anna,B,2025-01-02,1
WO-0000152,CAT-1090,SPLR_12,RACK2U,Steven,A,2025-01-02,0
WO-0000153,CAT-1001,SPLR_10,RACK2U,Gabriel,A,2025-01-02,0
WO-0000154,CAT-1050,SPLR_17,EDGE_AI,Jamie,C,2025-01-02,1
WO-0000155,CAT-1066,SPLR_17,EMBEDDED_B,Philip,A,2025-01-02,0
WO-0000156,CAT-1101,SPLR_02,RACK2U,Kathy,A,2025-01-02,0
WO-0000157,CAT-1090,SPLR_09,STORAGE_NODE,John,A,2025-01-02,0
WO-0000158,CAT-1029,SPLR_01,STORAGE_NODE,Lisa,A,2025-01-02,0
WO-0000159,CAT-1027,SPLR_09,STORAGE_NODE,Gregory,B,2025-01-02,1
WO-0000160,CAT-1001,SPLR_05,NUC,Kathy,B,2025-01-03,0
WO-0000161,CAT-1101,SPLR_12,RACK2U,Danielle,B,2025-01-03,0
WO-0000162,CAT-1073,SPLR_07,NUC,Jonathan,A,2025-01-03,1
WO-0000163,CAT-1064,SPLR_15,RACK1U,Katelyn,B,2025-01-03,0
WO-0000164,CAT-1082,SPLR_10,EDGE_AI,Erin,B,2025-01-03,0
WO-0000165,CAT-1109,SPLR_15,RACK2U,Steven,B,2025-01-03,0
WO-0000166,CAT-1101,SPLR_03,EMBEDDED_A,Jonathan,C,2025-01-03,0
WO-0000167,CAT-1047,SPLR_12,RACK2U,Samantha,A,2025-01-03,0
WO-0000168,CAT-1037,SPLR_01,U25,Carmen,A,2025-01-03,0
WO-0000169,CAT-1111,SPLR_06,U25,Erik,A,2025-01-03,0
WO-0000170,CAT-1049,SPLR_13,RACK1U,Aaron,C,2025-01-03,0
WO-0000171,CAT-1076,SPLR_12,STORAGE_NODE,Felicia,B,2025-01-03,1
WO-0000172,CAT-1078,SPLR_13,STORAGE_NODE,Tracy,B,2025-01-03,1
WO-0000173,CAT-1115,SPLR_15,NUC,Brenda,B,2025-01-03,0
WO-0000174,CAT-1097,SPLR_11,RACK2U,Jamie,C,2025-01-03,0
WO-0000175,CAT-1078,SPLR_17,U25,Tracy,B,2025-01-03,0
WO-0000176,CAT-1116,SPLR_07,EMBEDDED_B,Jay,A,2025-01-03,0
WO-0000177,CAT-1014,SPLR_14,STORAGE_NODE,Nathaniel,C,2025-01-03,0
WO-0000178,CAT-1103,SPLR_17,RACK2U,Gary,B,2025-01-03,1
WO-0000179,CAT-1049,SPLR_02,U25,Gerald,C,2025-01-03,0
WO-0000180,CAT-1031,SPLR_15,STORAGE_NODE,Gary,A,2025-01-03,0
WO-0000181,CAT-1004,SPLR_01,RACK1U,Margaret,B,2025-01-03,0
WO-0000182,CAT-1091,SPLR_14,EMBEDDED_B,Jay,B,2025-01-03,0
WO-0000183,CAT-1103,SPLR_14,RACK2U,Peter,A,2025-01-03,0
WO-0000184,CAT-1012,SPLR_15,EMBEDDED_A,Brandon,B,2025-01-03,0
WO-0000185,CAT-1000,SPLR_13,EMBEDDED_A,Megan,A,2025-01-03,0
WO-0000186,CAT-1083,SPLR_12,STORAGE_NODE,Tiffany,C,2025-01-03,0
WO-0000187,CAT-1028,SPLR_07,EDGE_AI,Brian,A,2025-01-03,1
WO-0000188,CAT-1085,SPLR_08,EMBEDDED_A,Brenda,C,2025-01-03,0
WO-0000189,CAT-1032,SPLR_04,EMBEDDED_B,Andrew,A,2025-01-03,0
WO-0000190,CAT-1053,SPLR_15,EMBEDDED_B,Allison,A,2025-01-03,1
WO-0000191,CAT-1119,SPLR_08,EMBEDDED_A,Philip,B,2025-01-03,0
WO-0000192,CAT-1022,SPLR_13,STORAGE_NODE,Jonathan,A,2025-01-03,0
WO-0000193,CAT-1071,SPLR_16,U25,Nathaniel,A,2025-01-03,0
WO-0000194,CAT-1012,SPLR_02,RACK1U,Trevor,A,2025-01-03,0
WO-0000195,CAT-1024,SPLR_09,STORAGE_NODE,Thomas,A,2025-01-03,1
WO-0000196,CAT-1053,SPLR_17,RACK2U,Jamie,B,2025-01-03,0
WO-0000197,CAT-1090,SPLR_06,RACK1U,Kevin,A,2025-01-03,1
WO-0000198,CAT-1067,SPLR_16,RACK1U,Donna,B,2025-01-03,1
WO-0000199,CAT-1063,SPLR_11,EMBEDDED_A,Adam,A,2025-01-03,1
WO-0000200,CAT-1102,SPLR_07,U25,Samantha,C,2025-01-03,0
WO-0000201,CAT-1018,SPLR_06,NUC,Katherine,B,2025-01-03,0
WO-0000202,CAT-1070,SPLR_09,EDGE_AI,Amy,C,2025-01-03,0
WO-0000203,CAT-1057,SPLR_12,RACK1U,Mark,C,2025-01-03,1
WO-0000204,CAT-1032,SPLR_04,EDGE_AI,Samantha,A,2025-01-03,0
WO-0000205,CAT-1067,SPLR_12,RACK1U,Michelle,B,2025-01-03,0
WO-0000206,CAT-1112,SPLR_01,RACK2U,Chad,A,2025-01-03,0
WO-0000207,CAT-1115,SPLR_01,NUC,Tiffany,A,2025-01-03,1
WO-0000208,CAT-1118,SPLR_10,RACK2U,Shannon,A,2025-01-03,1
WO-0000209,CAT-1037,SPLR_03,EMBEDDED_B,Michael,A,2025-01-03,0
WO-0000210,CAT-1107,SPLR_04,EMBEDDED_B,Gabriel,A,2025-01-03,0
WO-0000211,CAT-1036,SPLR_08,U25,Jay,A,2025-01-03,0
WO-0000212,CAT-1049,SPLR_01,EDGE_AI,Margaret,B,2025-01-03,0
WO-0000213,CAT-1060,SPLR_07,RACK2U,Erin,B,2025-01-03,0
WO-0000214,CAT-1056,SPLR_05,EDGE_AI,Michael,A,2025-01-03,0
WO-0000215,CAT-1038,SPLR_09,EDGE_AI,Anna,A,2025-01-03,0
WO-0000216,CAT-1089,SPLR_16,RACK1U,Katelyn,B,2025-01-03,0
WO-0000217,CAT-1005,SPLR_13,U25,John,A,2025-01-03,1
WO-0000218,CAT-1038,SPLR_16,U25,Donald,A,2025-01-03,0
WO-0000219,CAT-1001,SPLR_01,U25,Margaret,B,2025-01-03,0
WO-0000220,CAT-1057,SPLR_11,U25,Michael,C,2025-01-03,0
WO-0000221,CAT-1070,SPLR_01,RACK1U,Brian,B,2025-01-03,0
WO-0000222,CAT-1054,SPLR_14,U25,Aaron,A,2025-01-03,0
WO-0000223,CAT-1102,SPLR_16,EMBEDDED_A,Kimberly,B,2025-01-03,0
WO-0000224,CAT-1109,SPLR_07,STORAGE_NODE,Jonathan,A,2025-01-03,0
WO-0000225,CAT-1097,SPLR_14,NUC,Carmen,A,2025-01-03,0
WO-0000226,CAT-1061,SPLR_06,RACK2U,Alice,A,2025-01-03,0
WO-0000227,CAT-1009,SPLR_07,RACK2U,Jonathan,A,2025-01-03,0
WO-0000228,CAT-1079,SPLR_13,EMBEDDED_B,Donna,A,2025-01-03,0
WO-0000229,CAT-1088,SPLR_16,U25,Erik,A,2025-01-03,1
WO-0000230,CAT-1093,SPLR_13,U25,Wesley,B,2025-01-03,0
WO-0000231,CAT-1020,SPLR_17,RACK1U,Jay,A,2025-01-03,1
WO-0000232,CAT-1066,SPLR_11,STORAGE_NODE,Michael,C,2025-01-03,0
WO-0000233,CAT-1015,SPLR_16,RACK2U,Allison,B,2025-01-03,0
WO-0000234,CAT-1021,SPLR_01,RACK1U,Kimberly,A,2025-01-03,0
WO-0000235,CAT-1071,SPLR_12,STORAGE_NODE,Kathy,A,2025-01-03,1
WO-0000236,CAT-1006,SPLR_05,EMBEDDED_A,Brian,A,2025-01-03,0
WO-0000237,CAT-1104,SPLR_11,U25,Gerald,A,2025-01-03,1
WO-0000238,CAT-1090,SPLR_13,EMBEDDED_B,Adrienne,B,2025-01-03,0
WO-0000239,CAT-1068,SPLR_17,U25,Anthony,B,2025-01-03,0
WO-0000240,CAT-1113,SPLR_14,NUC,Kelsey,A,2025-01-04,0
WO-0000241,CAT-1062,SPLR_02,EDGE_AI,Kevin,A,2025-01-04,0
WO-0000242,CAT-1019,SPLR_03,EMBEDDED_B,Kelsey,A,2025-01-04,0
WO-0000243,CAT-1115,SPLR_04,STORAGE_NODE,Amy,C,2025-01-04,0
WO-0000244,CAT-1029,SPLR_09,U25,Ashley,C,2025-01-04,0
WO-0000245,CAT-1088,SPLR_08,RACK2U,Vicki,B,2025-01-04,1
WO-0000246,CAT-1078,SPLR_14,EMBEDDED_B,Michelle,A,2025-01-04,0
WO-0000247,CAT-1068,SPLR_16,EMBEDDED_B,Amy,B,2025-01-04,0
WO-0000248,CAT-1060,SPLR_04,NUC,Erin,A,2025-01-04,0
WO-0000249,CAT-1089,SPLR_17,STORAGE_NODE,Carolyn,B,2025-01-04,0
WO-0000250,CAT-1111,SPLR_08,STORAGE_NODE,Lisa,B,2025-01-04,1
WO-0000251,CAT-1038,SPLR_11,RACK2U,Taylor,B,2025-01-04,0
WO-0000252,CAT-1069,SPLR_09,STORAGE_NODE,Kyle,A,2025-01-04,0
WO-0000253,CAT-1023,SPLR_08,EDGE_AI,Edward,A,2025-01-04,0
WO-0000254,CAT-1036,SPLR_07,EMBEDDED_B,Megan,A,2025-01-04,0
WO-0000255,CAT-1114,SPLR_02,RACK2U,Rebecca,C,2025-01-04,0
WO-0000256,CAT-1041,SPLR_04,RACK1U,Gabriel,B,2025-01-04,0
WO-0000257,CAT-1022,SPLR_09,RACK2U,Kyle,A,2025-01-04,0
WO-0000258,CAT-1001,SPLR_17,RACK2U,Tiffany,B,2025-01-04,0
WO-0000259,CAT-1078,SPLR_03,U25,Tiffany,A,2025-01-04,0
WO-0000260,CAT-1037,SPLR_16,EDGE_AI,Jose,C,2025-01-04,0
WO-0000261,CAT-1108,SPLR_17,RACK1U,Michelle,A,2025-01-04,0
WO-0000262,CAT-1049,SPLR_06,U25,Michael,A,2025-01-04,0
WO-0000263,CAT-1066,SPLR_15,EMBEDDED_B,Joseph,B,2025-01-04,0
WO-0000264,CAT-1062,SPLR_05,U25,Kimberly,C,2025-01-04,1
WO-0000265,CAT-1019,SPLR_11,EMBEDDED_A,Jonathan,A,2025-01-04,1
WO-0000266,CAT-1101,SPLR_08,RACK1U,Margaret,B,2025-01-04,0
WO-0000267,CAT-1091,SPLR_04,EMBEDDED_A,Chad,A,2025-01-04,0
WO-0000268,CAT-1027,SPLR_02,STORAGE_NODE,Michael,C,2025-01-04,1
WO-0000269,CAT-1031,SPLR_04,EMBEDDED_B,Anthony,A,2025-01-04,0
WO-0000270,CAT-1022,SPLR_13,U25,Philip,C,2025-01-04,1
WO-0000271,CAT-1102,SPLR_07,EMBEDDED_A,Aaron,A,2025-01-04,1
WO-0000272,CAT-1039,SPLR_04,U25,Katherine,C,2025-01-04,0
WO-0000273,CAT-1112,SPLR_14,RACK1U,Vicki,B,2025-01-04,0
WO-0000274,CAT-1054,SPLR_10,EMBEDDED_A,Alice,A,2025-01-04,0
WO-0000275,CAT-1052,SPLR_03,U25,Michelle,B,2025-01-04,0
WO-0000276,CAT-1100,SPLR_04,STORAGE_NODE,Carolyn,A,2025-01-04,0
WO-0000277,CAT-1066,SPLR_05,EDGE_AI,Megan,A,2025-01-04,1
WO-0000278,CAT-1018,SPLR_07,STORAGE_NODE,Susan,B,2025-01-04,0
WO-0000279,CAT-1072,SPLR_08,EMBEDDED_A,Aaron,A,2025-01-04,0
WO-0000280,CAT-1100,SPLR_15,STORAGE_NODE,Mark,B,2025-01-04,0
WO-0000281,CAT-1088,SPLR_03,EDGE_AI,Susan,A,2025-01-04,1
WO-0000282,CAT-1067,SPLR_07,NUC,Wesley,B,2025-01-04,0
WO-0000283,CAT-1095,SPLR_14,EMBEDDED_B,Shannon,A,2025-01-04,1
WO-0000284,CAT-1025,SPLR_09,STORAGE_NODE,Tracy,A,2025-01-04,1
WO-0000285,CAT-1076,SPLR_17,RACK1U,Tracy,A,2025-01-04,1
WO-0000286,CAT-1047,SPLR_03,RACK2U,Brandon,B,2025-01-04,1
WO-0000287,CAT-1018,SPLR_08,U25,Susan,A,2025-01-04,0
WO-0000288,CAT-1049,SPLR_09,EMBEDDED_B,Donna,B,2025-01-04,0
WO-0000289,CAT-1079,SPLR_09,EMBEDDED_A,Michelle,A,2025-01-04,0
WO-0000290,CAT-1066,SPLR_13,U25,Alexis,A,2025-01-04,0
WO-0000291,CAT-1101,SPLR_09,RACK1U,Kevin,B,2025-01-04,0
WO-0000292,CAT-1033,SPLR_10,STORAGE_NODE,Rebecca,A,2025-01-04,0
WO-0000293,CAT-1079,SPLR_17,EMBEDDED_B,Kelsey,B,2025-01-04,0
WO-0000294,CAT-1047,SPLR_11,RACK2U,John,B,2025-01-04,0
WO-0000295,CAT-1086,SPLR_16,RACK1U,Anthony,B,2025-01-04,0
WO-0000296,CAT-1048,SPLR_08,RACK1U,Sarah,A,2025-01-04,1
WO-0000297,CAT-1052,SPLR_02,RACK1U,Danielle,B,2025-01-04,0
WO-0000298,CAT-1087,SPLR_01,EMBEDDED_B,Ashley,A,2025-01-04,0
WO-0000299,CAT-1039,SPLR_14,STORAGE_NODE,Amy,A,2025-01-04,0
WO-0000300,CAT-1109,SPLR_03,EMBEDDED_B,Dawn,A,2025-01-04,0
WO-0000301,CAT-1033,SPLR_06,RACK1U,Danielle,C,2025-01-04,0
WO-0000302,CAT-1088,SPLR_10,U25,Gerald,C,2025-01-04,0
WO-0000303,CAT-1084,SPLR_11,EMBEDDED_B,Tiffany,B,2025-01-04,0
WO-0000304,CAT-1007,SPLR_17,RACK1U,Vicki,B,2025-01-04,0
WO-0000305,CAT-1047,SPLR_01,EMBEDDED_A,Taylor,C,2025-01-04,1
WO-0000306,CAT-1115,SPLR_09,EMBEDDED_A,Samantha,C,2025-01-04,0
WO-0000307,CAT-1112,SPLR_07,EDGE_AI,Gerald,B,2025-01-04,0
WO-0000308,CAT-1053,SPLR_07,EMBEDDED_B,Rachel,C,2025-01-04,0
WO-0000309,CAT-1029,SPLR_16,RACK1U,Kathy,C,2025-01-04,0
WO-0000310,CAT-1002,SPLR_14,EMBEDDED_B,Michael,B,2025-01-04,0
WO-0000311,CAT-1091,SPLR_09,EMBEDDED_B,Gary,B,2025-01-04,0
WO-0000312,CAT-1076,SPLR_05,RACK1U,Sarah,A,2025-01-04,0
WO-0000313,CAT-1070,SPLR_05,EMBEDDED_B,Mark,C,2025-01-04,0
WO-0000314,CAT-1068,SPLR_01,U25,Katherine,B,2025-01-04,0
WO-0000315,CAT-1040,SPLR_15,U25,Philip,B,2025-01-04,0
